CVE ID,CVE_type,Description,Max CVSS,EPSS Score,Published,Updated
CVE-2015-6742,N/A,"Basware Banking (Maksuliikenne) before 8.90.07.X uses a hardcoded password for the ANCO account, which allows remote authenticated users to bypass intended access restrictions by leveraging knowledge of this password.  NOTE: this identifier was SPLIT from CVE-2015-0942 per ADT2 and ADT3 due to different vulnerability types and different affected versions.",6.5,0.19%,2015-08-31,2015-08-31
CVE-2015-6665,Cross site scripting (XSS),"Cross-site scripting (XSS) vulnerability in the Ajax handler in Drupal 7.x before 7.39 and the Ctools module 6.x-1.x before 6.x-1.14 for Drupal allows remote attackers to inject arbitrary web script or HTML via vectors involving a whitelisted HTML element, possibly related to the ""a"" tag.",4.3,1.13%,2015-08-24,2016-12-24
CVE-2015-6664,XML external entity (XXE) injection,"XML external entity (XXE) vulnerability in the application import functionality in SAP Mobile Platform 2.3 allows remote attackers to read arbitrary files and possibly have other unspecified impact via crafted XML data, aka SAP Security Note 2152227.",6.8,0.64%,2015-08-24,2018-12-10
CVE-2015-6663,Cross site scripting (XSS),"Cross-site scripting (XSS) vulnerability in the Client form in the Device Inspector page in SAP Afaria 7 allows remote attackers to inject arbitrary web script or HTML via crafted client name data, aka SAP Security Note 2152669.",4.3,0.29%,2015-08-24,2018-12-10
CVE-2015-6662,XML external entity (XXE) injection,"XML external entity (XXE) vulnerability in SAP NetWeaver Portal 7.4 allows remote attackers to read arbitrary files and possibly have other unspecified impact via crafted XML data, aka SAP Security Note 2168485.",6.8,0.64%,2015-08-24,2018-12-10
CVE-2015-6661,Information leak,Drupal 6.x before 6.37 and 7.x before 7.39 allows remote attackers to obtain sensitive node titles by reading the menu.,5.0,0.73%,2015-08-24,2016-12-24
CVE-2015-6660,Cross-site request forgery (CSRF),"The Form API in Drupal 6.x before 6.37 and 7.x before 7.39 does not properly validate the form token, which allows remote attackers to conduct CSRF attacks that upload files in a different user's account via vectors related to ""file upload value callbacks.""",6.8,0.48%,2015-08-24,2016-12-24
CVE-2015-6659,Sql Injection,SQL injection vulnerability in the SQL comment filtering system in the Database API in Drupal 7.x before 7.39 allows remote attackers to execute arbitrary SQL commands via an SQL comment.,7.5,10.76%,2015-08-24,2016-12-24
CVE-2015-6658,Cross site scripting (XSS),"Cross-site scripting (XSS) vulnerability in the Autocomplete system in Drupal 6.x before 6.37 and 7.x before 7.39 allows remote attackers to inject arbitrary web script or HTML via a crafted URL, related to uploading files.",4.3,1.06%,2015-08-24,2016-12-24
CVE-2015-6655,Cross-site request forgery (CSRF),Cross-site request forgery (CSRF) vulnerability in Pligg CMS 2.0.2 allows remote attackers to hijack the authentication of administrators for requests that add an administrator via a request to admin/admin_users.php.,6.8,0.33%,2015-08-31,2016-12-22
CVE-2015-6565,Denial of service,"sshd in OpenSSH 6.8 and 6.9 uses world-writable permissions for TTY devices, which allows local users to cause a denial of service (terminal disruption) or possibly have unspecified other impact by writing to a device, as demonstrated by writing an escape sequence.",7.2,0.38%,2015-08-24,2022-12-13
CVE-2015-6564,Memory Corruption,Use-after-free vulnerability in the mm_answer_pam_free_ctx function in monitor.c in sshd in OpenSSH before 7.0 on non-OpenBSD platforms might allow local users to gain privileges by leveraging control of the sshd uid to send an unexpectedly early MONITOR_REQ_PAM_FREE_CTX request.,6.9,2.27%,2015-08-24,2022-12-13
CVE-2015-6563,Input validation,"The monitor component in sshd in OpenSSH before 7.0 on non-OpenBSD platforms accepts extraneous username data in MONITOR_REQ_PAM_INIT_CTX requests, which allows local users to conduct impersonation attacks by leveraging any SSH login access in conjunction with control of the sshd uid to send a crafted MONITOR_REQ_PWNAM request, related to monitor.c and monitor_wrap.c.",1.9,0.15%,2015-08-24,2022-12-13
CVE-2015-6557,Information leak,"IBM Tivoli Storage Manager for Databases: Data Protection for Microsoft SQL Server 5.5 before 5.5.6.1, 6.3 before 6.3.1.5, 6.4 before 6.4.1.7, and 7.1 before 7.1.2; Tivoli Storage Manager for Mail: Data Protection for Microsoft Exchange Server 5.5 before 5.5.1.1, 6.1 before 6.1.3.7, 6.3 before 6.3.1.5, 6.4 before 6.4.1.7, and 7.1 before 7.1.2; and Tivoli Storage FlashCopy Manager 3.1 before 3.1.1.5, 3.2 before 3.2.1.7, and 4.1 before 4.1.2, when application tracing is used, place cleartext passwords in exception messages, which allows physically proximate attackers to obtain sensitive information by reading trace output, a different vulnerability than CVE-2015-4949.",2.1,0.05%,2015-08-23,2015-08-24
CVE-2015-6535,Cross site scripting (XSS),Cross-site scripting (XSS) vulnerability in includes/options-profiles.php in the YouTube Embed plugin before 3.3.3 for WordPress allows remote administrators to inject arbitrary web script or HTML via the Profile name field (youtube_embed_name parameter).,3.5,0.62%,2015-08-31,2018-10-09
